"Point.Forecast" "Lo.80" "Hi.80" "Lo.95" "Hi.95"
"2015.581" 1209.12159222676 549.872278829035 1868.37090562449 200.886772940956 2217.35641151257
"2015.584" 1356.41381549651 382.316304492 2330.51132650102 -133.339769399333 2846.16740039235
"2015.586" 1345.75033361954 364.287129592558 2327.21353764652 -155.268106654233 2846.76877389331
"2015.589" 1314.28110658463 332.806077336744 2295.75613583252 -186.755418803864 2815.31763197313
"2015.592" 1310.44248373543 324.771888931937 2296.11307853893 -197.010605453424 2817.89557292429
"2015.595" 1316.00542251522 321.273267688867 2310.73757734157 -205.306126813709 2837.31697184415
"2015.597" 1317.82824178674 315.518913097276 2320.13757047621 -215.071594955336 2850.72807852882
"2015.600" 1317.06194963848 308.4793910642 2325.64450821276 -225.431964292175 2859.55586356914
"2015.603" 1316.55215525426 301.717473464567 2331.38683704395 -235.503555999708 2868.60786650822
"2015.605" 1316.608630003 295.318942520958 2337.89831748504 -245.319160546997 2878.53642055299
"2015.608" 1316.72126077346 288.974702140558 2344.46781940637 -255.081462045164 2888.52398359209
"2015.611" 1316.73133916368 282.608371850395 2350.85430647696 -264.82325919414 2898.28593752149
"2015.614" 1316.7107345317 276.266346329006 2357.1551227344 -274.511642796137 2907.93311185954
"2015.616" 1316.70481053013 269.972267405221 2363.43735365504 -284.13446986123 2917.54409092149
"2015.619" 1316.70780581511 263.720589327577 2369.69502230265 -293.697172013167 2927.11278364339
"2015.622" 1316.70955839342 257.50480505393 2375.91431173291 -303.204321479861 2936.6234382667
"2015.625" 1316.70929209092 251.32412886872 2382.09445531312 -312.656709027797 2946.07529320964
"2015.627" 1316.70889119824 245.179083896107 2388.23869850038 -322.054532090822 2955.47231448731
"2015.630" 1316.70886837802 239.069308797653 2394.34842795839 -331.398614675589 2964.81635143163
"2015.633" 1316.7089441935 232.994026598506 2400.4238617885 -340.689997137714 2974.10788552472
